id,preco
13518783164498355150900635905895481162,135859.4474255331
299896161723793383246777788797566040330,144051.17704883963
316180649972302128246133616457018378621,185675.1486881692
222527157104148385909188217274642813298,131583.8690415118
160460343059850745858546502614838368036,106648.87861406803
262727202368986244371977784343233436999,79593.61462530866
254093764205800086330999281077926851120,125126.7566682417
26118184613036116787803832945215674478,174666.9525784403
216524630140335566712794225427064313,164936.67941696383
185631381169816366226494379020452029389,206933.81636956334
193325654448132563278364141820152041311,126886.55697946064
238917637717691361625086479663492481749,82589.48697014153
55430829679256880238551444522175018156,127962.40410736203
215317645068876070368783807654911699750,222263.42598569207
81597227204971961501733390453078413740,167019.06435729936
144896666825908872755051834814298387194,130405.76759436168
184599608599423525451999366981389806783,145364.0309595
332523842755767369964829329030378044388,126895.50066808239
115343777354602647202140618045743635008,141303.41395489126
20757170217235469489036110086071917277,142007.863905482
185526399598537813925895625787601650168,87384.09718911164
60658042813489826886245400795986219027,98902.1645421423
252469656136469704862465423825396909961,236073.72023451328
144289133420257677937750963126363910239,14632.919298078865
286704706212186527658783613441315754259,148202.1912257783
104788498292328609834480593297039083847,71361.73876176216
83091551517048057678460117003997132666,228820.09326697513
253819240599250454081144283787356606601,78725.06573366001
47552100267769170589122325402191982347,117949.23389462568
143932540867090135955180920741784357244,145964.15431583114
196345985565471044954698780677909306202,154239.31781286374
244792708737468723430839923035345593106,88030.86943780631
84589940414664494482357035061818012137,123415.05707455613
272199586960887794853261858460695880945,113049.0432956405
49959439507026713714422386346459644032,96413.15429122001
281026519311657672970881937258693325762,36983.97525736876
93074564150014753673961081882123830374,164317.87625028566
26728401390792884431172378844166640182,245358.59987012297
188211565885838356078706489204052877949,46608.94494383223
72487946181948797581370306862646034491,115728.57480577566
228864048115975611203958077134700148633,143178.4387268629
112454259487642510247400972640243226784,92995.40231973119
222663295482952330188872827964862490542,47510.88512679562
174300102534868734265445704595501072047,142926.43687549047
65616068149477861830943576277231644996,119458.63862731121
12512429268260634755522419284910697215,200230.47485350445
336344009530167442733355949279054127993,27982.421975137666
79522286518792634854353998912967788405,125744.09459075332
82689802293775881487902613650793199776,118281.09223337471
145087209205382180995284342956932775590,76654.88322217576
148379644220249469735831915363404593938,74371.31503151916
81783415914068556337040372580510327746,105773.40475071594
17392005129747944984443660408573750669,92809.82686182857
221003909581330971303914733428302885356,195520.33378040418
32270994133870633595828638411924379558,121443.02936415188
44743423162474884539743903954385097896,150638.78481181152
256739781367016694034266877805520625472,163472.34505056962
102069821313289958956134954896763391138,122807.85222973116
295239204594155572903470420706758961711,97108.63233953528
217043924033496343963491521400562422856,96097.66584497504
230630223901851276472648163541398202700,102346.41709240526
228794583325189840821498523768389390979,129411.78937417269
226883211751919793077312253417502568887,113388.72553521954
178727794896076301413017290746899811351,89182.12425563857
233324434070255280697734700180958891999,116679.63856386393
120196782885257163651164953359063822616,14930.059503883123
307587965035124177469706843302286678852,100446.00763214938
147918433942232310306879997092064646229,97989.29065343738
322862357217576382174561616320866894896,147896.42707122676
239523402888574028389406143855331971634,213603.46534614637
113509983214540261664688743850173663995,107623.63152103126
109891169875096641331353504149265117244,181617.59689562768
14047284765259674200352849951505593080,134226.46413051896
185048785858081984334746723407963750558,113746.50972632319
233408161489868303803711823496315975517,7462.626008724794
271868823659695867806389462405507434039,108341.29682077467
234266752075173490649523075655294035700,131485.65983490646
135193714861901808768224625797727405125,97364.47667917795
65383514239248595231552479759479421653,146590.4121942427
763500554236946546082152173974002095,86926.01195240952
263071556455718053803505933844459615897,95031.0578014031
251187863725990533753089128740859478739,19552.831054676324
254288424794027625207128200628830798586,181483.71058820002
286319605986498380547161295324785273852,159165.46571033075
18156444762146185587945140921021289232,95000.13588124327
132399590521100913284690334248594447552,141309.94365566038
103484450878268999171337512911053865440,224868.5782831572
3912270241651523146374566983699340012,196310.3852211386
289442719100949424990356122406061188257,177378.2163913045
